day,ppl,amount
2021/12/26,613,3708551
2021/12/27,483,5412822
2021/12/28,505,4835718
2021/12/29,594,2591842
2021/12/30,720,2786626
2021/12/31,658,4866032
2022/1/1,817,3552485
2022/1/2,828,3455634
2022/1/3,734,3629771
2022/1/4,679,6417632
2022/1/5,649,3256973
2022/1/6,793,2938481
2022/1/7,726,3039097
2022/1/8,789,2580841
2022/1/9,873,2194033
2022/1/10,608,3294289
2022/1/11,536,3014393
2022/1/12,570,1937707
2022/1/13,572,1553062
2022/1/14,588,1883872
2022/1/15,879,2615111
2022/1/16,817,1704023
2022/1/17,532,1580767
2022/1/18,590,6011190
2022/1/19,609,3609791
2022/1/20,100,1107583
